Section,ServerName,SymbolCode,IsBookA,BidPrice,AskPrice,Volume,ContractSize,UpdateDateTime
UK,CNX,AUDCAD,0,1.0183500,1.0191100,-2.0000000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDCAD,1,1.0183500,1.0191100,0.1700000,100000.00,5/6/2014 8:12:46 AM
US,CNX,AUDCHF,0,0.8139500,0.8147000,-0.4600000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDCHF,1,0.8139500,0.8147000,2.5400000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDJPY,0,94.9130000,94.9670000,-2.0000000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDJPY,1,94.9130000,94.9670000,-0.8200000,100000.00,5/6/2014 8:12:46 AM
US,CNX,AUDJPY,0,94.9130000,94.9670000,-1.3500000,100000.00,5/6/2014 8:12:46 AM
US,CNX,AUDNZD,0,1.0663000,1.0667300,19.3800000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDNZD,0,1.0663000,1.0667300,27.8600000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDNZD,1,1.0663000,1.0667300,-3.2800000,100000.00,5/6/2014 8:12:46 AM
US,CNX,AUDUSD,0,0.9304800,0.9307500,-5.5185000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDUSD,0,0.9304800,0.9307500,-24.1200000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,AUDUSD,1,0.9304800,0.9307500,-6.3850000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,CADCHF,1,0.7990300,0.7996800,0.0900000,100000.00,5/6/2014 8:12:46 AM
US,CNX,CADJPY,0,93.1700000,93.2210000,-0.5000000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,CHFJPY,0,116.5510000,116.6200000,-7.5000000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,CHFJPY,1,116.5510000,116.6200000,-0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURAUD,1,1.4950600,1.4958200,-2.5300000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURAUD,0,1.4950600,1.4958200,-5.6679000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURAUD,0,1.4950600,1.4958200,2.5000000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURCAD,0,1.5230700,1.5238300,-5.9600000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURCHF,1,1.2176700,1.2179300,8.1200000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURCHF,0,1.2176700,1.2179300,18.1000000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURGBP,0,0.8217100,0.8219100,-1.0940000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURGBP,0,0.8217100,0.8219100,121.6700000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURGBP,1,0.8217100,0.8219100,19.4000000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURJPY,0,141.9620000,141.9900000,-9.8042200,100000.00,5/6/2014 8:12:46 AM
JP,CNX,EURJPY,1,141.9620000,141.9900000,0.5000000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURJPY,0,141.9620000,141.9900000,-31.3100000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURJPY,1,141.9620000,141.9900000,-0.0100000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURNOK,0,8.2522000,8.2562400,0.0100000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURNZD,1,1.5945200,1.5954000,0.5000000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURNZD,0,1.5945200,1.5954000,-0.5200000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURPLN,0,4.2035700,4.2049900,-0.4200000,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURSEK,1,9.0699900,9.0728700,0.0600000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURSEK,0,9.0699900,9.0728700,0.4900000,100000.00,5/6/2014 8:12:46 AM
US,CNX,EURUSD,0,1.3915700,1.3917500,-2004.2905100,100000.00,5/6/2014 8:12:46 AM
UK,CNX,EURUSD,0,1.3915700,1.3917500,-357.2900000,100000.00,5/6/2014 8:12:46 AM
